grid,n,beta_bd,c,a_cl,energy,converged,Bind,Sep,Inside,n_core,delta_min,delta_max,delta_mean,n_deep,deep_mass_frac,u_min,u_max,u_std
15x15,225,20.0,0.5,3.0,6.4782932755837646,True,0.8264543452676425,0.9498776511770053,0.9488469079622341,100,1,10,4.200,84,0.8382343995222978,0.0,0.9828545875267907,0.46462004283707237
15x15,225,20.0,0.5,3.5,5.421136023253665,False,0.8558711921727526,0.9513088686787076,0.9719157432056291,102,1,11,4.157,84,0.8251949086676865,0.0,0.995133455546476,0.4702118416083199
15x15,225,20.0,0.5,3.9,4.712922705693855,False,0.8771800460631672,0.9532200728485407,0.9813860559097163,104,1,11,4.144,86,0.8301170939735077,0.0,0.9992314690033579,0.47339108955758086
15x15,225,50.0,0.3,2.0,10.615379568407286,True,0.7345020018088253,0.9359752035365926,0.9743175957613284,63,1,7,3.159,49,0.7801520921182395,0.0,0.9978989220919053,0.4387605423443363
15x15,225,50.0,0.3,3.0,6.045574286326452,True,0.8138056369469068,0.9501335364970793,0.9859676849993155,65,1,5,2.692,50,0.7740555320144791,0.0,1.0,0.44585426518953375
15x15,225,50.0,0.3,3.5,5.319344526805116,True,0.8466903542036909,0.936277525945705,0.9765346020293153,63,1,6,2.857,48,0.7647601985101434,0.0,1.0,0.4414439114648036
15x15,225,50.0,0.3,3.9,4.806738208999774,True,0.8671754692117661,0.9309325907580714,0.9852891617129161,61,1,8,3.410,46,0.7565687108194057,0.0,1.0,0.44382447101799105
15x15,225,50.0,0.4,2.0,9.009029827013045,True,0.7501439754786355,0.9426440893777654,0.902229764486931,80,1,6,3.188,65,0.8103703217419459,0.004747003627393757,0.9487698241213347,0.4471078038566365
15x15,225,50.0,0.4,3.0,5.682394821940421,True,0.820847048005814,0.939635136322295,0.9463573081751653,86,1,11,3.791,68,0.7937686323859049,0.0,0.9822965868880971,0.4597696588956592
15x15,225,50.0,0.4,3.5,4.060144333808997,True,0.8539922853083199,0.9514274357802479,0.9475966198289877,88,1,8,3.545,73,0.8325037149581384,0.0,0.9822019898872246,0.46388436404790173
15x15,225,50.0,0.4,3.9,3.490877179459866,True,0.8748742590561247,0.9518756126657913,0.9665413553797652,88,1,7,3.205,70,0.799375516988613,0.0,0.9928006625208232,0.46437761158491536
15x15,225,50.0,0.5,2.0,11.682223413769425,True,0.7503466900506819,0.903883086940506,0.9220183610633407,89,1,5,2.157,58,0.6489831593522143,0.0,0.9812931104359393,0.438415305085341
15x15,225,50.0,0.5,3.0,8.661514735864657,True,0.8058525845184297,0.910180376111841,0.9760539431858832,108,1,4,1.935,64,0.6011265503804786,0.0,1.0,0.46073192079975
15x15,225,50.0,0.5,3.5,7.287960484894311,True,0.8344664665144268,0.9163166089536333,0.9459997294538024,107,1,3,1.804,62,0.5892201281608559,0.0,1.0,0.4675362059299175
15x15,225,50.0,0.5,3.9,6.473067631555397,True,0.8543799479065343,0.9207677180450755,0.9430250851189025,109,1,3,1.798,63,0.5880739265667653,0.0,1.0,0.47143619572148415
15x15,225,100.0,0.3,2.0,10.158789812076979,True,0.7324402357515746,0.9375004804527575,0.9686299627829249,64,1,7,3.062,49,0.7662669855286272,0.0,1.0,0.4396998024943498
15x15,225,100.0,0.3,3.0,5.706392594598785,True,0.8098165928684183,0.9500901259944764,0.9859632325694273,67,1,6,2.836,50,0.750673766951763,0.0,1.0,0.44863361338492286
15x15,225,100.0,0.3,3.5,4.293559568297384,True,0.8444947768569403,0.9535252646083591,0.9855198432455342,67,1,6,2.821,52,0.7809823166121977,0.0,1.0,0.4484776748121265
15x15,225,100.0,0.3,3.9,3.5360680086775655,True,0.8667463853584566,0.9538262128852397,0.987154064583735,67,1,6,2.821,52,0.7809847758433844,0.0,1.0,0.44942136038211217
15x15,225,100.0,0.4,2.0,8.965798320680852,True,0.7486549166009187,0.9387776182173593,0.905031840935601,86,1,9,3.488,70,0.8137107867489715,0.003846452016508201,0.9577360206568324,0.447762284265748
15x15,225,100.0,0.4,3.0,6.3564656242757875,True,0.8114547659991462,0.9166391313004715,0.9499257373271163,84,1,6,2.452,52,0.623035655478108,0.0,0.9957283528647038,0.45598504341924334
15x15,225,100.0,0.4,3.5,4.19763092545303,True,0.8460359896473926,0.9421064255790659,0.9762083717390799,85,1,7,3.094,66,0.7789449460044019,0.0,1.0,0.46920631322042994
15x15,225,100.0,0.4,3.9,3.3523867543954924,True,0.8702563670611021,0.9469226577244388,0.9680214665115622,87,1,6,3.034,67,0.7715476228327651,0.0,1.0,0.46613003602948466
15x15,225,100.0,0.5,2.0,11.687459161348638,True,0.7418058604696869,0.9040026409783241,0.9074725750193327,85,1,3,1.459,34,0.3975640731072853,0.0,0.9869367491632378,0.44154000418586425
15x15,225,100.0,0.5,3.0,7.89973031005416,True,0.7999699575969911,0.917619806904291,0.937474391166568,110,1,3,1.764,62,0.5707748851165789,0.0,1.0,0.46612961524852453
15x15,225,100.0,0.5,3.5,7.078238718958094,True,0.8236182521509362,0.9113058386782426,0.9632896599973201,107,1,4,1.748,57,0.5387312430173581,0.0,1.0,0.47133245038699434
15x15,225,100.0,0.5,3.9,6.201399209481318,True,0.8428574171951554,0.9143081864898105,0.9757906975874407,105,1,4,1.657,52,0.4990165335379775,0.0,1.0,0.4776676772575893
20x20,400,5.0,0.3,2.0,14.692798935433824,True,0.7659690560962706,0.9098186851099432,0.8121344393996364,0,nan,nan,,0,0.0,0.0,0.8804038410578042,0.38594879921972874
20x20,400,5.0,0.3,3.0,8.283374943940542,False,0.8342107483316787,0.9361462944323817,0.8849793856831204,27,1,1,1.000,0,0.0,0.0,0.9501420742721203,0.41074401185154963
20x20,400,5.0,0.3,3.5,6.231080240399697,True,0.863277493613882,0.9450767674132993,0.9262484252548527,108,1,5,2.741,84,0.7716959071549946,0.0,0.9777971793570084,0.4206608847658169
20x20,400,5.0,0.3,3.9,5.035831715647481,True,0.8838914541920392,0.9499242410436389,0.9417427398355962,109,1,6,3.248,89,0.8108776112193664,0.0,0.9890726093789185,0.426775011381813
20x20,400,5.0,0.4,2.0,12.664057946044473,False,0.8048152338895411,0.8524814478543076,0.6299334844127741,0,nan,nan,,0,0.0,0.011900290534872626,0.7864503248048672,0.35266529546937864
20x20,400,5.0,0.4,3.0,7.349533460740281,False,0.8482614409342429,0.928925898999053,0.7992622806035847,0,nan,nan,,0,0.0,0.0,0.889420465153704,0.4156719006660161
20x20,400,5.0,0.4,3.5,5.592202371155682,False,0.8747041450088411,0.9362400323021339,0.851361521549477,40,1,2,1.050,2,0.050192559622286886,0.0,0.9182878504863863,0.42981862007023525
20x20,400,5.0,0.4,3.9,4.397891877144079,False,0.8932254360190839,0.9476647666883014,0.884520130771296,154,1,9,4.396,134,0.8690205437912379,0.0,0.9394831754294369,0.4410586144955184
20x20,400,5.0,0.5,2.0,13.445977739842874,True,0.8038867646084231,0.9088271236099646,0.66142526227357,0,nan,nan,,0,0.0,0.0,0.8456784585575512,0.3669995120480089
20x20,400,5.0,0.5,3.0,7.9989156986467655,False,0.8492394136815968,0.947057054178472,0.8317116354928241,21,1,1,1.000,0,0.0,0.0,0.9326034697078976,0.4258654081759054
